barcode	replica	sampling	depth	completeness	pangolin	seq
barcode01	1	1000	32.8159	NA	BA.1.1	omicron
barcode01	1	10000	100.017	NA	BA.1.1	omicron
barcode01	1	1500	47.8211	NA	BA.1.1	omicron
barcode01	1	2000	63.1587	NA	BA.1.1	omicron
barcode01	1	2500	77.038	NA	BA.1.1	omicron
barcode01	1	3000	90.0459	NA	BA.1.1	omicron
barcode01	1	3500	100.017	NA	BA.1.1	omicron
barcode01	1	4000	100.017	NA	BA.1.1	omicron
barcode01	1	4500	100.017	NA	BA.1.1	omicron
barcode01	1	500	20.1678	NA	BA.1.1	omicron
barcode01	1	5000	100.017	NA	BA.1.1	omicron
barcode01	1	5500	100.017	NA	BA.1.1	omicron
barcode01	1	6000	100.017	NA	BA.1.1	omicron
barcode01	1	6500	100.017	NA	BA.1.1	omicron
barcode01	1	7000	100.017	NA	BA.1.1	omicron
barcode01	1	7500	100.017	NA	BA.1.1	omicron
barcode01	1	8000	100.017	NA	BA.1.1	omicron
barcode01	1	8500	100.017	NA	BA.1.1	omicron
barcode01	1	9000	100.017	NA	BA.1.1	omicron
barcode01	1	9500	100.017	NA	BA.1.1	omicron
barcode01	2	1000	30.5442	NA	BA.1.1	omicron
barcode01	2	10000	100.017	NA	BA.1.1	omicron
barcode01	2	1500	48.569	NA	BA.1.1	omicron
barcode01	2	2000	63.3826	NA	BA.1.1	omicron
barcode01	2	2500	76.6764	NA	BA.1.1	omicron
barcode01	2	3000	88.5696	NA	BA.1.1	omicron
barcode01	2	3500	100.017	NA	BA.1.1	omicron
barcode01	2	4000	100.017	NA	BA.1.1	omicron
barcode01	2	4500	100.017	NA	BA.1.1	omicron
barcode01	2	500	17.0995	NA	BA.1.1	omicron
barcode01	2	5000	100.017	NA	BA.1.1	omicron
barcode01	2	5500	100.017	NA	BA.1.1	omicron
barcode01	2	6000	100.017	NA	BA.1.1	omicron
barcode01	2	6500	100.017	NA	BA.1.1	omicron
barcode01	2	7000	100.017	NA	BA.1.1	omicron
barcode01	2	7500	100.017	NA	BA.1.1	omicron
barcode01	2	8000	100.017	NA	BA.1.1	omicron
barcode01	2	8500	100.017	NA	BA.1.1	omicron
barcode01	2	9000	100.017	NA	BA.1.1	omicron
barcode01	2	9500	100.017	NA	BA.1.1	omicron
barcode01	3	1000	34.1973	NA	BA.1.1	omicron
barcode01	3	10000	100.017	NA	BA.1.1	omicron
barcode01	3	1500	51.6367	NA	BA.1.1	omicron
barcode01	3	2000	67.0317	NA	BA.1.1	omicron
barcode01	3	2500	74.4223	NA	BA.1.1	omicron
barcode01	3	3000	87.6554	NA	BA.1.1	omicron
barcode01	3	3500	100.017	NA	BA.1.1	omicron
barcode01	3	4000	100.017	NA	BA.1.1	omicron
barcode01	3	4500	100.017	NA	BA.1.1	omicron
