id	sample	lineage_pangolin	clade	depth	pct	lineage_hedgehog	strategy
barcode08	CUY17-003849	B.1.1.7	20I (Alpha, V1)	532.548	98.7786259541985	B.1.1.7	Standard-S
barcode09	CUY16-003804	B.1.351	20H (Beta, V2)	262.72	98.7977099236641	B.1.351	Standard-S
barcode12	CUY4-000486	P.2	20B	534.267	98.969465648855	P.2	Standard-S
barcode20	CUY17-003866	B.1.1.7	20I (Alpha, V1)	33.6788	42.8435114503817	B.1.1.7	Standard-S
barcode21	CUY16-003803	B.1.351	20H (Beta, V2)	533.498	98.7977099236641	B.1.351	Standard-S
barcode24	CUY5-000547	P.6	20B	533.907	98.969465648855	P.6	Standard-S
barcode32	CUY17-003867	Unassigned		4.24023	0	Unassigned	Standard-S
barcode33	CUY17-003939	P.1.10	20J (Gamma, V3)	488.097	98.9312977099237	P.1.10	Standard-S
barcode35	CUY19-004183	C.37	21G (Lambda)	527.932	98.5687022900763	C.37	Standard-S
barcode36	CUY16-003498	P.6	20B	499.159	98.969465648855	P.6	Standard-S
barcode45	CUY12-002713	P.1.10	20J (Gamma, V3)	534.453	98.969465648855	P.1.10	Standard-S
barcode46	CUY24-004954	AY.4	21A (Delta)	467.869	88.2824427480916	AY.4	Standard-S
barcode47	CUY6-001233	C.37.1	21G (Lambda)	530.774	98.5687022900763	C.37.1	Standard-S
barcode48	CUY16-003501	P.6	20B	532.098	98.969465648855	P.6	Standard-S
barcode57	CUY12-002716	P.1.10	20J (Gamma, V3)	533.91	98.969465648855	P.1.10	Standard-S
barcode58	CUY18-004019	B.1.621	21H (Mu)	512.437	98.9503816793893	B.1.621	Standard-S
barcode59	CUY8-001646	C.37.1	21G (Lambda)	533.726	98.6068702290076	C.37.1	Standard-S
barcode60	CUY16-003536	P.6	20B	530.464	98.969465648855	P.6	Standard-S
barcode68	CUY16-003800	B.1	19B	15.1583	12.9007633587786	B.1	Standard-S
barcode69	CUY12-002721	P.1.10	20J (Gamma, V3)	428.344	98.9312977099237	P.1.10	Standard-S
barcode70	CUY18-004022	B.1.621	21H (Mu)	532.071	98.9312977099237	B.1.621	Standard-S
barcode71	CUY16-003496	P.2	20B	531.002	98.969465648855	P.2	Standard-S
barcode72	CUY16-003538	P.6	20B	336.681	98.969465648855	P.6	Standard-S
barcode80	CUY16-003802	B.1.351	20H (Beta, V2)	533.66	98.7977099236641	B.1.351	Standard-S
barcode81	CUY12-002725	P.1.10	20J (Gamma, V3)	533.805	98.9503816793893	P.1.10	Standard-S
barcode82	CUY18-004023	B.1.621	21H (Mu)	496.654	98.912213740458	B.1.621	Standard-S
barcode83	CUY1-000006	P.2	20B	534.801	98.969465648855	P.2	Standard-S
barcode92	CUY16-003801	B.1.351	20H (Beta, V2)	518.865	98.7977099236641	B.1.351	Standard-S
barcode93	CUY18-004026	B.1.621.1	21H (Mu)	479.87	98.8931297709924	B.1.621.1	Standard-S
barcode22	CUY17-003901	AY.4	21A (Delta)	488.004	88.2251908396947	AY.4	Standard-S
barcode34	CUY17-003909	B.1	19B	10.7878	12.9198473282443	B.1	Standard-S
barcode36	CUY42-007286	BA.1	recombinant	158.729	72.8053435114504	BA.1	Standard-S
barcode46	CUY24-004876	AY.25.1	21J (Delta)	371.293	88.2442748091603	AY.25.1	Standard-S
barcode47	CUY23-004816	AY.20	21J (Delta)	358.008	83.8358778625954	AY.20	Standard-S
barcode48	CUY42-007288	BA.1.1	recombinant	230.146	72.7671755725191	BA.1.1	Standard-S
barcode58	CUY17-003910	AY.4	21A (Delta)	345.903	82.0610687022901	AY.4	Standard-S
barcode59	CUY17-003893	AY.48	21A (Delta)	330.367	83.4351145038168	AY.48	Standard-S
barcode60	CUY42-007289	BA.1.1	recombinant	332.713	84.4847328244275	BA.1.1	Standard-S
barcode07	CUY21-004441	Unassigned		NA	0	Unassigned	Standard-S
barcode71	CUY16-003792	AY.30	21A (Delta)	339.882	71.7175572519084	AY.30	Standard-S
barcode72	CUY42-007291	BA.1.1	recombinant	71.5897	49.4274809160305	BA.1.1	Standard-S
barcode82	CUY26-005235	AY.4	20A	10.7312	12.9389312977099	AY.4	Standard-S
barcode84	CUY42-007294	BA.1.1	21K (Omicron)	280.583	84.5038167938931	BA.1.1	Standard-S
barcode95	CUY17-003892	AY.26	21I (Delta)	368.774	83.7213740458015	AY.26	Standard-S
