name	spike_lineage	genome_lineage	Ns	status_lineage	spike_lineage_group
01_SE100_22CS100210|EPI_ISL_8896775|Sweden|BA.1.17|2022-01-09	BA.1.17.2	BA.1.17	0.0534294818045	Incorrect	BA.1
01_SE100_22CS102395|EPI_ISL_10480681|Sweden|BA.2|2022-02-18	BA.2	BA.2	0.00961701263079	Correct	BA.2
01_SE100_22CS103146|EPI_ISL_11297428|Sweden|BA.2|2022-03-09	BA.2	BA.2	0.00120627261761	Correct	BA.2
01_SE100_22CS104416|EPI_ISL_13625937|Sweden|BA.2.9|2022-06-16	BA.2.9	BA.2.9	0.00110667695094	Correct	BA.2
01_SE100_22CS501226|EPI_ISL_9622715|Sweden|BA.1.1|2022-01-26	BA.1.1	BA.1.1	0.00673096242716	Correct	BA.1
01_SE100_22CS501315|EPI_ISL_9623025|Sweden|BA.1|2022-01-27	BA.1.1	BA.1	0.00408573342264	Incorrect	BA.1
01_SE100_22CS501946|EPI_ISL_10152381|Sweden|BA.1.18|2022-02-10	BA.1.18	BA.1.18	0.0125942053257	Correct	BA.1
01_SE100_22CS502619|EPI_ISL_10786844|Sweden|BA.2|2022-02-22	BA.2	BA.2	0.00100623867981	Correct	BA.2
01_SE100_22CS503968|EPI_ISL_11489007|Sweden|BA.2.9|2022-03-16	BA.2.9	BA.2.9	0.00869010871024	Correct	BA.2
01_SE100_22CS504435|EPI_ISL_11953870|Sweden|BA.2|2022-04-01	BA.2	BA.2	0.0295634123477	Correct	BA.2
03_SE600_000200294990N2|EPI_ISL_13633178|Sweden|BA.1.13|2022-01-06	BA.1	BA.1.13	0.0373988652768	Incorrect	BA.1
08-016501-MB|EPI_ISL_9714498|Slovenia|BA.1.1|2022-01-13	BA.1.1	BA.1.1	0.00863800723182	Correct	BA.1
08-087792-MB|EPI_ISL_11580963|Slovenia|BA.1.1|2022-02-25	BA.1.1	BA.1.1	0.0147053897431	Correct	BA.1
08-094263-MB|EPI_ISL_12788197|Slovenia|BA.2|2022-05-06	BA.2	BA.2	0.000201072386059	Correct	BA.2
